,1,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
91,4,3,Luis Scola,27,HOU,5.0,146.0,625,0.23399999999999999,82,24.7,10.3,6.4,1.3,0.7,0.2,0.515,0.0,0.6679999999999999,6.5,0.154
92,5,4,Al Thornton,24,LAC,0.0,30.0,625,0.048,79,27.3,12.7,4.5,1.2,0.6,0.5,0.429,0.331,0.743,1.1,0.025
93,6,5,Jamario Moon,27,TOR,0.0,7.0,625,0.011000000000000001,78,27.8,8.5,6.2,1.2,1.0,1.4,0.485,0.32799999999999996,0.741,5.7,0.126
94,7,6,Juan Carlos Navarro,27,MEM,0.0,3.0,625,0.005,82,25.8,10.9,2.6,2.2,0.6,0.0,0.402,0.361,0.8490000000000001,1.4,0.031
95,8,7,Thaddeus Young,19,PHI,0.0,2.0,625,0.003,74,21.0,8.2,4.2,0.8,1.0,0.1,0.539,0.316,0.738,4.5,0.14
96,9,8T,Mike Conley,20,MEM,0.0,1.0,625,0.002,53,26.1,9.4,2.6,4.2,0.8,0.0,0.428,0.33,0.732,1.1,0.038
97,10,8T,Carl Landry,24,HOU,0.0,1.0,625,0.002,42,16.9,8.1,4.9,0.5,0.4,0.2,0.616,0.0,0.6609999999999999,3.7,0.251
98,2,1,Derrick Rose,20,CHI,111.0,574.0,600,0.9570000000000001,81,37.0,16.8,3.9,6.3,0.8,0.2,0.475,0.222,0.7879999999999999,4.9,0.078
99,3,2,O.J. Mayo,21,MEM,5.0,246.0,600,0.41,82,38.0,18.5,3.8,3.2,1.1,0.2,0.43799999999999994,0.384,0.879,3.4,0.052000000000000005
100,4,3,Brook Lopez,20,NJN,2.0,127.0,600,0.212,82,30.5,13.0,8.1,1.0,0.5,1.8,0.531,0.0,0.7929999999999999,5.8,0.11199999999999999
101,5,4,Russell Westbrook,20,OKC,2.0,73.0,600,0.122,82,32.5,15.3,4.9,5.3,1.3,0.2,0.39799999999999996,0.271,0.815,1.9,0.035
102,6,5,Eric Gordon,20,LAC,0.0,22.0,600,0.037000000000000005,78,34.3,16.1,2.6,2.8,1.0,0.4,0.456,0.389,0.8540000000000001,4.6,0.08199999999999999
103,7,6,Kevin Love,20,MIN,0.0,16.0,600,0.027000000000000003,81,25.3,11.1,9.1,1.0,0.4,0.6,0.45899999999999996,0.105,0.789,5.3,0.124
104,8,7,Michael Beasley,20,MIA,0.0,7.0,600,0.012,81,24.8,13.9,5.4,1.0,0.5,0.5,0.47200000000000003,0.40700000000000003,0.772,3.4,0.081
